"TripID","Site","TrapType","FoodDim1","FoodDim2","ConsDim1","ConsDim2"
"RGONQ0577W","Vanga","Traditional",-1.32652557584247,0.161480461778446,-2.88508535340991,-0.00148671167994304
"PLOYZ3138G","Vanga","Traditional",-1.10761891464651,-0.106243964113522,-2.88905491609221,-0.0578158111777312
"HCDRP5241D","Vanga","Traditional",-1.00066356210871,-0.380613916315839,-0.68967966262193,-2.30400481612039
"CSELG2642R","Vanga","Traditional",-1.52238821957166,0.27520453819582,-3.88316496159748,0.194042033358125
"DPMOE3277H","Vanga","Traditional",-0.962722711034806,0.0114342870219702,-3.23647523156974,0.0102084148396158
"VTJSM0433A","Mkunguni","Traditional",-0.813366685496554,-0.159433292010153,1.40584000226206,0.264355058608682
"NWEIL9446F","Mkunguni","Traditional",0.861691541591826,-2.52552825102189,3.13454570807287,2.46321231894274
"JCMBG9376V","Mkunguni","Traditional",-0.927265358622544,-0.0152600873604164,1.25355956852872,0.17293769505771
"VLGLP5872T","Mkunguni","Traditional",-0.530315727559763,-0.563511985455591,1.12170253210874,0.886147806268718
"XQKRM5886L","Mkunguni","Traditional",-1.08824633676745,-0.137913572843522,1.97025473865984,0.130598628645539
"HPAVE8384R","Mkunguni","Traditional",-0.310796964982253,-0.110984473879523,0.491579221975253,1.05083182970259
"LZGWG8787V","Mkunguni","Traditional",-0.91454368791946,-0.0760260314200573,0.6658676764487,0.890908656635721
"THEHK1521O","Mkunguni","Traditional",-0.245110197480521,-0.833007603278684,1.78046253607899,1.01170482638235
"GFGLQ0666R","Mkunguni","Traditional",-0.497647197478698,-0.667583780977881,0.553243118817615,2.07356178472927
"WJZBW2813L","Mkunguni","Traditional",-1.08346618821801,0.0350876167502348,1.85863391301152,-0.201864512127946
"SJASS6496B","Mkunguni","Traditional",-0.959716080805797,-0.361189924120005,0.418347938429688,2.12697340133947
"QQYKD6791N","Mkunguni","Traditional",0.112974542805212,-1.95534532784018,3.52865229648086,2.14115165387477
"JHGQM8739D","Mkunguni","Traditional",-1.03950966009396,0.0182935431408036,1.86270469796596,-0.200975041843313
"FONYG0582A","Mkunguni","Traditional",0.0109831643982883,-1.02737589452003,1.19732172346631,1.84096784162282
"BPVYB1656U","Mkunguni","Traditional",-1.08513768565769,0.0268749386763926,0.620747481241753,1.26620592238366
"ZZOMR4920N","Mkunguni","Traditional",-0.471414664418074,-0.430104228208884,1.60684498184621,0.467684544796544
"MBPJJ5529B","Mkunguni","Traditional",-0.950976157390349,-0.046477565780994,1.85388466389801,-0.202902227460018
"CRRFF5188R","Mkunguni","Traditional",-0.678200587040645,-0.358806425213272,1.97215109049924,0.328685049377517
"YLJSI8607Z","Mkunguni","Traditional",-0.944259054318368,-0.188080530975785,0.880341379853378,1.15869337198512
"VQCUB8152S","Mkunguni","Traditional",0.439505265297081,-1.8772000582769,2.75222203872275,2.04058820146378
"MCPGB0821Y","Munje","Traditional",0.363585673950492,0.871788513786872,-1.92716924249426,-0.425122389846966
"SQBIU8701T","Munje","Traditional",-1.79690482802615,1.06531618248141,-0.855567036890267,-2.0648048358298
"CGHMR3429E","Munje","Traditional",2.44951380335376,0.635655779090198,-1.88912716259999,-0.392594241307151
"JTAWR9247V","Munje","Traditional",0.975062525940869,0.885850035762197,-3.11873404897627,0.0535650005458961
"DCPOP8252A","Munje","Traditional",-0.427378610009673,0.83183613557067,-1.91760534099229,-0.135378014476449
"QYFRC5782P","Munje","Traditional",1.84237763814741,1.13571023347784,-3.27125310720731,0.0860839708992918
"NWVOW7020T","Munje","Traditional",5.3903955518303,2.35527077916931,-2.60205786321051,0.244115064083421
"CWEZS8619T","Munje","Traditional",-1.49813166108735,1.19778774522744,-2.49647173447094,-0.62889149359696
"XKMVL6851L","Jimbo","Traditional",-1.59737886097519,0.505231163828189,-2.06568420613627,1.28651050596912
"URESA3610B","Jimbo","Traditional",-1.49595976901837,0.387822137358969,-1.11788934896299,0.505084630077231
"FZGXB5535V","Jimbo","Traditional",-1.08701974267253,-0.22165526594928,0.474087245837286,-0.015558701090873
"LBCXG3115Y","Jimbo","Traditional",-1.65175168492721,0.517981467791201,-1.59112174613565,0.760048664335862
"OVUEL7759Q","Jimbo","Traditional",-0.0927017741768527,-1.69450923487698,1.92435645482241,0.124225024893425
"QDWGV2181T","Jimbo","Traditional",-1.6732856343776,0.662704479390036,-2.68187237127534,1.52678794597969
"ATHJP0835V","Jimbo","Traditional",-1.08232567211561,0.0289846606758672,-1.64575555083603,0.622025693730359
"BHNNV1738Y","Jimbo","Traditional",-1.54686004871614,0.387053116707328,-2.37661809268607,1.38233901228112
"QMCAY5911C","Jimbo","Traditional",-1.51054950859638,0.380310487096378,-2.2374589846871,1.03772585675205
"TKSAL3715O","Jimbo","Traditional",-1.20341957929655,-0.0238707627284396,0.394631041654321,-0.155617087509687
"DPKIQ4750H","Bamburi","Gated",-0.900460576049989,-0.785326957957691,0.0360803604829913,-0.527499372251766
"HVKSX8372Q","Bamburi","Traditional",-1.03794618851391,-0.186634335910115,-0.0302399499846394,-1.20786050400611
"YKYFP2838P","Bamburi","Gated",-1.41562896116433,0.0997627510432474,-1.4251278364933,-0.610084807106744
"RVJWS6472I","Bamburi","Traditional",-0.866822165846254,-0.46274674966509,-0.363989207480589,-0.489968703625819
"XYDET0838M","Bamburi","Traditional",-0.71634636790087,-0.882775654558569,-0.365081122176162,-0.449267496274773
